dispnum,ccode,participant_incident_count,participant_threat_count,participant_force_count,participant_max_action,participant_mean_hostlev,sidea,revstate,revtype1,revtype2,use_force_or_war
4528,640,1,0,1,11,3.0,1,1,2,0,0
4528,645,1,1,0,0,1.0,0,0,0,0,0
4529,630,2,0,2,16,4.0,1,1,2,0,1
4529,645,2,2,0,0,1.0,0,0,0,0,1
4530,670,2,1,1,17,2.5,0,0,0,0,1
4530,679,2,0,2,17,4.0,1,0,0,0,1
4531,651,1,0,1,17,4.0,1,0,0,0,1
4531,666,1,0,1,17,4.0,0,0,0,0,1
4532,652,1,1,0,0,1.0,0,0,0,0,1
4532,666,1,0,0,7,3.0,1,1,2,0,1
4533,660,19,16,3,17,1.4736842105263157,0,1,2,0,1
4533,666,19,2,5,17,3.0,1,1,2,0,1
4534,630,2,1,1,15,2.5,0,0,0,0,1
4534,645,2,1,1,12,2.0,1,0,0,0,1
4535,2,1,0,1,15,4.0,1,1,2,0,1
4535,630,1,1,0,0,1.0,0,0,0,0,1
4536,630,8,1,7,16,3.625,1,1,2,0,1
4536,645,8,8,0,0,1.0,0,0,0,0,1
4537,640,16,0,16,16,3.875,1,1,2,0,1
4537,645,16,16,0,0,1.0,0,0,0,0,1
4538,2,1,0,1,15,4.0,1,0,0,0,1
4538,630,1,1,0,0,1.0,0,0,0,0,1
4539,652,2,1,1,16,2.5,0,0,0,0,1
4539,666,2,1,1,16,2.5,1,1,2,0,1
4540,2,1,0,1,16,4.0,1,1,2,0,1
4540,652,1,1,0,0,1.0,0,0,0,0,1
4541,2,1,1,0,0,1.0,0,0,0,0,0
4541,630,1,1,0,1,2.0,1,1,2,0,0
4542,220,1,1,0,0,1.0,0,0,0,0,1
4542,666,1,0,1,16,4.0,1,0,0,0,1
4543,2,1,0,1,16,4.0,0,0,0,0,1
4543,630,2,1,0,7,2.0,1,0,0,0,1
4543,645,1,1,0,0,1.0,0,0,0,0,1
4544,651,1,1,0,0,1.0,0,0,0,0,1
4544,666,1,0,1,16,4.0,1,0,0,0,1
4545,660,55,40,11,17,1.690909090909091,0,1,2,0,1
4545,666,55,13,26,17,2.727272727272727,1,1,2,0,1
4546,630,1,0,1,14,4.0,1,1,1,0,1
4546,645,1,1,0,0,1.0,0,0,0,0,1
4547,630,2,0,2,16,4.0,1,1,2,0,1
4547,645,2,2,0,0,1.0,0,0,0,0,1
4548,630,1,1,0,0,1.0,0,0,0,0,0
4548,666,1,0,0,7,3.0,1,1,2,0,0
4549,20,1,1,0,0,1.0,0,0,1,0,0
4549,390,1,0,0,7,3.0,1,1,1,0,0
4550,20,1,0,1,15,4.0,1,1,2,0,1
4550,235,1,1,0,0,1.0,0,0,0,0,1
4551,20,2,0,0,7,3.0,1,1,1,0,0
4551,390,2,2,0,0,1.0,0,1,1,0,0
4552,2,4,0,3,17,3.5,0,1,2,0,1
4552,700,13,3,10,17,3.076923076923077,0,1,2,0,1
4552,770,17,6,11,17,2.823529411764706,1,1,2,0,1
4553,775,5,3,2,16,2.0,1,1,2,0,1
4553,800,5,2,3,11,2.2,0,1,2,0,1
4554,750,1,0,1,17,4.0,0,1,1,0,1
4554,771,1,0,1,17,4.0,1,0,0,0,1
4555,750,19,5,14,17,3.1052631578947367,1,1,2,0,1
4555,771,19,6,10,17,2.8947368421052633,0,1,2,0,1
4556,820,1,0,0,7,3.0,1,1,1,2,0
4556,830,1,1,0,0,1.0,0,0,0,0,0
4557,775,1,0,1,16,4.0,1,0,0,0,1
4557,800,1,1,0,0,1.0,0,0,0,0,1
4558,775,1,0,1,16,4.0,1,1,2,0,1
4558,800,1,1,0,0,1.0,0,0,0,0,1
4559,800,2,1,1,15,2.5,0,0,0,0,1
4559,820,2,1,1,11,2.0,1,0,0,0,1
4560,800,1,1,0,0,1.0,0,0,0,0,1
4560,850,1,0,1,16,4.0,1,1,2,0,1
4561,750,1,0,1,16,4.0,1,0,0,0,1
4561,770,1,1,0,0,1.0,0,0,0,0,1
4562,775,1,0,1,16,4.0,1,1,2,0,1
4562,800,1,1,0,0,1.0,0,0,0,0,1
4563,750,1,1,0,0,1.0,0,1,2,0,1
4563,790,1,0,1,12,3.0,1,0,0,0,1
4564,775,3,2,1,16,2.0,1,1,2,0,1
4564,800,3,1,1,11,2.3333333333333335,0,0,0,0,1
4565,750,1,0,0,8,3.0,1,0,0,0,0
4565,775,1,1,0,0,1.0,0,0,0,0,0
4566,750,2,0,1,16,3.5,1,1,2,0,1
4566,770,2,2,0,0,1.0,0,1,1,0,1
4567,820,2,0,0,7,3.0,1,1,2,0,0
4567,850,2,2,0,0,1.0,0,1,2,0,0
4568,2,1,0,1,16,4.0,1,1,2,0,1
4568,770,1,1,0,0,1.0,0,0,0,0,1
4569,800,2,1,1,11,2.0,0,1,0,0,0
4569,811,2,1,1,11,2.0,1,1,2,0,0
4570,800,1,1,0,0,1.0,0,0,0,0,0
4570,820,1,0,0,8,3.0,1,0,0,0,0
4571,2,2,0,2,16,4.0,1,1,2,0,1
4571,770,2,2,0,0,1.0,0,0,0,0,1
4572,800,2,1,1,15,2.5,0,0,0,0,1
4572,820,2,1,1,12,2.0,1,0,0,0,1
4573,700,2,0,2,17,3.5,0,1,2,0,1
4573,770,2,1,1,17,2.5,1,0,0,0,1
4574,775,1,1,0,0,1.0,0,0,0,0,0
4574,800,1,0,1,11,3.0,1,0,0,0,0
4575,2,41,0,41,16,4.0,1,1,2,0,1
4575,770,41,41,0,0,1.0,0,0,0,0,1
4576,700,3,1,2,16,2.6666666666666665,1,0,0,0,1
4576,770,3,2,0,7,1.6666666666666667,0,0,0,0,1
4577,2,2,0,1,16,3.5,1,1,2,0,1
4577,770,2,2,0,0,1.0,0,0,0,0,1
4578,630,1,0,0,7,3.0,1,0,0,0,1
4578,700,1,1,0,0,1.0,0,0,0,0,1
4579,775,1,0,1,16,4.0,1,0,0,0,1
4579,800,1,1,0,0,1.0,0,0,0,0,1
4580,710,1,1,0,0,1.0,0,0,0,0,0
4580,750,1,0,1,11,3.0,1,1,2,0,0
4581,2,14,0,13,17,3.9285714285714284,1,1,2,0,1
4581,770,14,13,1,17,1.2142857142857142,0,1,2,0,1
4582,750,2,0,2,17,4.0,1,0,0,0,1
4582,771,2,1,1,17,2.5,0,0,0,0,1
4583,630,2,0,2,17,4.0,1,0,0,0,1
4583,700,2,1,1,17,2.5,0,0,0,0,1
4584,700,3,0,3,17,4.0,1,1,2,0,1
4584,770,3,1,2,17,3.0,0,0,0,0,1
4585,750,73,23,45,17,2.9726027397260273,0,1,2,0,1
4585,770,73,9,61,17,3.5616438356164384,1,1,2,1,1
4586,820,1,0,0,7,3.0,1,1,2,0,0
4586,850,1,1,0,0,1.0,0,0,0,0,0
4587,750,2,2,0,0,1.0,0,0,0,0,1
4587,780,2,0,2,16,4.0,1,1,2,0,1
4588,800,18,3,13,17,3.2222222222222223,1,1,1,0,1
4588,811,18,8,9,17,2.4444444444444446,0,1,2,0,1
4589,850,1,0,1,16,4.0,1,0,0,0,1
4589,910,1,1,0,0,1.0,0,0,0,0,1
4590,750,1,0,1,17,4.0,0,0,0,0,1
4590,771,1,0,1,17,4.0,1,0,0,0,1
4591,771,2,1,0,7,2.0,1,0,0,0,0
4591,775,2,1,1,11,2.0,0,1,2,0,0
4592,750,2,1,0,7,2.0,1,0,0,0,0
4592,771,2,1,0,7,2.0,0,1,2,0,0
4593,750,5,0,3,17,3.6,1,0,0,0,1
4593,771,5,4,1,17,1.6,0,0,0,0,1
4594,630,1,0,1,17,4.0,1,0,0,0,1
4594,700,1,0,1,17,4.0,0,0,0,0,1
4595,775,1,0,1,16,4.0,1,0,0,0,1
4595,800,1,1,0,0,1.0,0,0,0,0,1
4596,771,2,2,0,0,1.0,0,0,0,0,0
4596,775,2,0,1,11,3.0,1,1,2,0,0
4597,630,1,0,1,11,3.0,1,0,0,0,0
4597,770,1,1,0,0,1.0,0,0,0,0,0
4598,2,7,0,6,17,3.857142857142857,1,1,2,0,1
4598,770,7,5,2,17,1.8571428571428572,0,1,2,0,1
4599,630,2,1,1,15,2.5,1,0,0,0,1
4599,700,2,1,1,15,2.5,0,0,0,0,1
4601,2,2,1,0,7,2.0,0,0,0,0,0
4601,365,2,1,0,7,2.0,1,0,0,0,0
4602,2,1,1,0,0,1.0,0,1,2,0,0
4602,630,1,0,0,7,3.0,1,1,2,0,0
4603,2,1,1,0,0,1.0,0,1,2,0,1
4603,630,1,0,1,16,4.0,1,1,2,0,1
4604,2,2,0,2,16,4.0,1,0,0,0,1
4604,700,2,2,0,0,1.0,0,0,0,0,1
4605,2,1,1,0,0,1.0,0,1,2,0,0
4605,710,1,0,0,7,3.0,1,1,2,0,0
4606,2,1,1,0,0,1.0,0,1,2,0,0
4606,710,1,0,0,7,3.0,1,1,2,0,0
4607,51,1,0,1,16,4.0,1,1,2,0,1
4607,91,1,1,0,0,1.0,0,0,0,0,1
4608,95,1,1,0,0,1.0,0,0,0,0,1
4608,130,1,0,1,15,4.0,1,1,2,0,1
4609,95,1,0,1,15,4.0,1,0,0,0,1
4609,731,1,1,0,0,1.0,0,0,0,0,1
